id,id_lect,title,author,type,description,link,languages,file_name,file_ext,date,validate,validate_date,validate_by,clicks
9,26,ddd,ddd,3,ddd,"",key_1_,test01.pdf,pdf,2020-05-14 01:42:26+00,0,,0,0
20,38,Change to polar coordinates in double integration,IPB,3,Some notes about the polar coordinates and double integration., ,key_1_,change_of_variables.pdf,pdf,2020-05-29 15:47:15+00,1,2020-06-17 05:38:49+00,38,0
21,67,Notes on Introduction to The Product Rule ,Dr Rita Scully,3,The notes on Introduction to The Product Rule explain the development of the product rule and how it is used. It includes 2 worked examples. These explanations are of particular use for students who may be finding differentiation or the product rule difficult. ,"",key_1_,Intro to Product Rule.docx,docx,2020-06-15 07:20:54+00,1,2020-10-29 13:51:13+00,38,0
22,67,PowerPoint Slides for Differentiation – The Product Rule Set 1,Dr Rita Scully,3,"The PowerPoint slides attached allow each step of the information to be seen. Having control of the slides means that you can stop, review and move on as is appropriate to the class. They also facilitate editing if additional notes or information wish to be added to the slides.", ,key_1_,Differentiation Product Rule Set 1.pptx,pptx,2020-06-15 07:24:58+00,1,2020-12-20 11:00:48+00,38,0
23,67,PowerPoint Slides for Differentiation – The Product Rule - Trigonometric Functions,Dr Rita Scully,3,"The PowerPoint slides attached allow each step of the information to be seen. Having control of the slides means that you can stop, review and move on as is appropriate to the class. They also facilitate editing if additional notes or information wish to be added to the slides.",No link.,key_1_,Differentiation Product Rule Trig.pptx,pptx,2020-06-15 07:28:20+00,0,2020-06-17 08:39:39+00,64,0
24,67,Notes on The Product Rule - Trigonometric Functions,Dr Rita Scully,3,The notes on The Product Rule - Trigonometric Functions include two worked examplesdealing with trigonometric functions. These explanations are of particular use for students who may be finding differentiation or the product rule difficult. ,No link.,key_1_,Product Rule Tutorial Trigonometric Functions.docx,docx,2020-06-15 07:33:34+00,1,2020-06-17 08:44:19+00,64,0
25,67,Derivative of the product - solved exercice,Dr Rita Scully,3,"Solved examples performs an important role in developing understanding in Maths, giving insight in the teaching and learning process. They support repetition and promote familiarity with the new  skill being learned and help to imbed that skill.",No link.,key_1_,Example 82.docx,docx,2020-06-15 07:37:55+00,1,2020-06-17 08:48:04+00,64,0
26,67,Derivative of the Product - Solved Example,Dr Rita Scully,3,Using examples have an important role in developing understanding in Maths. Using examples of questions is a method practiced by teachers to explain and give mathematical understanding in the teaching and learning process. They support repetition and promote familiarity with the new Maths skill being learned and help to embed that skill.,No link.,key_1_,Example 95.docx,docx,2020-06-15 07:40:54+00,1,2020-06-17 08:49:11+00,64,0
27,67,Derivative of the Product - Example,Dr Rita Scully,3,Using examples performs an important role in developing understanding in Maths. Using examples with solved questions is a method practiced by teachers to explain and give mathematical understanding in the teaching and learning process. They support repetition and promote familiarity with the new Maths skill being learned and help to imbed that skill.,No link.,key_1_,Example 96.docx,docx,2020-06-15 07:42:57+00,1,2020-06-17 08:51:10+00,64,0
28,67,Derivative of the Product - Worked Example,Dr Rita Scully,3,Using examples have an important role in developing understanding in Maths. Using examples of questions is a method practiced by teachers to explain and give mathematical understanding in the teaching and learning process. They support repetition and promote familiarity with the new Maths skill being learned and help to imbed that skill.,No link.,key_1_,Example 98.docx,docx,2020-06-15 07:45:37+00,1,2020-06-17 08:52:29+00,64,0
29,67,Derivative of the Product - Worked Example,Dr Rita Scully,3,Using examples have an important role in developing understanding in Maths. Using examples of questions is a method practiced by teachers to explain and give mathematical understanding in the teaching and learning process. They support repetition and promote familiarity with the new Maths skill being learned and help to imbed that skill.,No link.,key_1_,Example 101.docx,docx,2020-06-15 07:48:27+00,1,2020-06-17 08:54:11+00,64,0
30,67,The rule for the derivative of the product  - Tutorial 1,Dr Rita Scully,3,The notes on the rule for the derivative of the product - Tutorial 1 explain two worked examples. These explanations are of particular use for students who may be finding differentiation or the product rule difficult. ,No link.,key_1_,Product Rule Tutorial 1 Notes.docx,docx,2020-06-15 07:52:04+00,1,2020-06-17 08:34:07+00,64,2
31,43,Discussion of a linear system depending on a parameter,UniGe,3,"We solve a typical exercice about the resolution of a linear system depending on a real parameter and, in particular, discuss how many solutions the system has.",No link.,key_1_,Teach1.pdf,pdf,2020-06-23 11:00:31+00,1,2020-11-15 09:21:30+00,64,0
32,43,Systems of linear equations - classification according to the number of solutions,UniGe,3,"We present a list of true/false questions about properties of square linear systems, in particular about the number of solutions they have.",No link.,key_1_,TMLS2.pdf,pdf,2020-06-23 11:07:37+00,1,2020-11-15 09:28:50+00,64,1
33,43,Systems of linear equations - equivalence  of systems,UniGe,3,"We study two linear systems which have different number of equations but the same number of variables, and study if they are equivalent.",No link.,key_1_,TMLS3.pdf,pdf,2020-06-23 11:14:04+00,1,2020-11-15 09:31:58+00,64,0
34,43,Systems of linear equations - properties,UniGe,3,"We provide a true/false list of questions about properties of linear systems, in particular about how they do change when operating on the rows by multiplication of a scalar and by addition of rows.",No link.,key_1_,TMLS4.pdf,pdf,2020-06-23 11:28:20+00,1,2020-11-15 09:27:55+00,64,1
35,43,Systems of linear equations - Gauss' method,UniGe,3,We present the complete solution of a linear system of equations (not depending on parameters) by making use of the Gauss algorithm.,No link.,key_1_,TMLS5.pdf,pdf,2020-06-23 11:34:00+00,1,2020-11-15 09:40:13+00,64,0
36,43,Systems of linear equations - discussion depending on the values of the parameters,UniGe,3,We show how to solve completely a linear systems depending on two parameters by making use of the Gauss algorithm.,No link.,key_1_,TMLS8.pdf,pdf,2020-06-23 11:38:02+00,1,2020-11-15 09:40:45+00,64,0
38,67,Basic Concepts of Logarithms,Dr Siobhan Curtin,3,"These introductory notes to the basic concepts of logarithms forms the basis of manipulation of logarithms. It includes a number of worked examples which will aid students that are finding the intricacies of logarithms hard to grasp.  
", ,key_1_,Basic concepts.docx,docx,2020-06-24 04:32:26+00,1,2020-11-06 09:20:03+00,38,0
78,1666,Concept of Subset.,IPB,3,Subsets and their properties.,No link.,key_1_,Subsets.pdf,pdf,2020-10-29 09:51:28+00,1,2023-08-08 01:32:37+00,64,0
39,67,Indices 1,Roz Whelan,3,"Slides explain how numbers can be written as a base with index, the Laws of Indices are outlined and practical examples are provided for each law.", ,key_1_,Indices.pdf,pdf,2020-06-24 04:35:51+00,1,2020-11-06 09:26:25+00,38,0
40,67,Indices 2: Worked Examples,Roz Whelan,3,"Three worked examples based on SNA and SFA questions for Indices, varying in degree of difficulty to aid students in their understanding of this topic and it’s application.", ,key_1_,Indices Worked Examples.docx,docx,2020-06-24 04:39:08+00,1,2020-11-06 10:03:10+00,38,0
41,67,Basic Concepts of Logarithms,Dr Siobhan Curtin,3,The laws of logarithms are introduced to students here. These notes build on concepts learned from the previous lesson on basic concepts of logarithms. Included are a number of worked examples detailing exactly how to derive the correct answer. It is envisioned that these notes will help students build their knowledge on the manipulation of logarithm expressions and equations. , ,key_1_,"","",2020-06-24 04:41:59+00,2,2020-11-16 06:06:03+00,38,0
42,67,Manipulating Formula 1,Roz Whelan,3,Slides explain how formulas can be manipulated so that one element can be isolated from the remainder of the formula. This will aid student’s understanding and ability to manipulate a variety of formula of differing complexity., ,key_1_,Manipulating Formula.pdf,pdf,2020-06-24 04:44:31+00,1,2020-11-16 09:26:39+00,38,0
43,67,Manipulation of Formula - worked examples (basic),Roz Whelan,3,"Three worked examples based on SNA and SFA questions for Manipulating Formula, varying in degree of difficulty to aid students in their understanding of this topic and it’s application.", ,key_1_,Manipulation of Formula Worked Examples Basic.docx,docx,2020-06-24 04:48:21+00,1,2020-11-06 09:36:37+00,38,1
44,67,Manipulation of Formula: Worked Examples (Advanced),Roz Whelan,3,"Three worked examples based on SNA and SFA questions for Manipulating Formula, varying in degree of difficulty to aid students in their understanding of this topic and it’s application.", ,key_1_,Manipulation of Formula Worked Examples Advanced.docx,docx,2020-06-24 04:51:00+00,1,2020-11-16 09:28:16+00,38,0
45,67,Simplifying Algebraic Expressions,Dr Siobhan Curtin,3,"These notes provide information on how to simplify algebraic expressions. Algebraic fractions can be added, subtracted, multiplied and divided in the same way as numerical fractions.  Examples of how to do all of these are presented. These notes provide the assistance students need to get to grasp with the simplification of algebraic fractions.", ,key_1_,Simplifying algebraic fractions.docx,docx,2020-06-24 06:17:25+00,1,2020-10-31 16:09:39+00,38,0
