id;source_id;topic;subtopic;question;correct;incorrect1;incorrect2;incorrect3;difficulty;llm_difficulty;technique
1;362;Graph Theory;;A simple graph $ G $ has 5 vertices and 6 edges. How many edges does its complementary graph $ \overline{G} $ have?;4 edges;5 edges;10 edges;6 edges;2;2;
2;365;Graph Theory;;Is the complete bipartite graph $ K_{3,3} $ planar?;No, it contains a subgraph homeomorphic to $ K_{3,3} $, which is nonplanar by Kuratowski's theorem.;Yes, it is bipartite and bipartite graphs are always planar.;Yes, it has no odd cycles and thus satisfies planarity conditions.;Yes, it is a tree and all trees are planar.;3;3;
3;370;Graph Theory;;Consider a graph with vertices $A, B, C, D$ and edges $AB, BC, CD, DA, AC$. Which of the following sequences is a path in this graph?;$A \rightarrow B \rightarrow C \rightarrow D$;$A \rightarrow B \rightarrow C \rightarrow A$;$A \rightarrow B \rightarrow A \rightarrow C$;$A \rightarrow B \rightarrow C \rightarrow D \rightarrow A$;3;3;
4;372;Graph Theory;;Consider the sequence $v_1 - e_1 - v_2 - e_2 - v_3 - e_3 - v_2 - e_4 - v_1$ in a simple graph. Which of the following best describes this sequence?;A walk but not a trail;A path;A circuit;A trail;3;3;
5;373;Graph Theory;;For a simple graph $ G $ with $ n $ vertices and $ m $ edges, the number of edges in its complement graph $ \overline{G} $ is:;\binom{n}{2} - m;m;\binom{n}{2} + m;\binom{n}{2} - 2m;2;2;
6;374;Graph Theory;;What is the number of edges in a spanning tree of a connected graph with 10 vertices?;9;8;10;11;2;2;
7;386;Graph Theory;;A connected planar graph has 8 vertices and 12 edges. How many regions does it divide the plane into?;6;5;7;8;3;3;
8;465;Graph Theory;;Which of the following is a necessary condition for two graphs $ G $ and $ G' $ to be isomorphic?;There exist one-to-one correspondences $ f: V(G) \to V(G') $ and $ g: E(G) \to E(G') $ preserving adjacency.;Both graphs have the same number of vertices.;Both graphs have the same number of edges.;Both graphs have the same degree sequence.;1;1;
9;466;Graph Theory;;Which of the following is true for a graph $ G $ and its complement $ \overline{G} $?;They have the same number of vertices.;They have the same number of edges.;They are always isomorphic.;They have identical degree sequences.;1;1;
10;468;Graph Theory;;How many edges does the complete bipartite graph $ K_{2,3} $ have?;6;5;7;8;2;2;
11;469;Graph Theory;;A simple graph G has 6 vertices and 10 edges. How many edges does its complement have? (A) 5 (B) 10 (C) 15 (D) 6;5;10;15;6;1;1;
12;470;Graph Theory;;What is the number of edges in the complement of a simple graph with 4 vertices and 2 edges?;4;2;3;6;1;1;
13;471;Graph Theory;;Which of the following is true about the complement of a complete graph $ K_n $?;The complement is an empty graph with no edges.;The complement is also a complete graph.;The complement has the same number of edges as $ K_n $.;The complement is a cycle graph $ C_n $.;1;1;
14;472;Graph Theory;;Which of the following must be true for a self-complementary graph $ G $?;The number of vertices is congruent to 0 or 1 modulo 4.;The graph is regular.;The graph has an even number of edges.;The graph is bipartite.;3;3;
15;473;Graph Theory;;Which of the following properties is preserved under graph isomorphism?\n\n(a) The specific labels of the vertices\n(b) The adjacency matrix entries\n(c) The degree sequence of the graph\n(d) The planar embedding of the graph;(c) The degree sequence of the graph;(a) The specific labels of the vertices;(b) The adjacency matrix entries;(d) The planar embedding of the graph;3;3;
16;474;Graph Theory;;What is the number of edges in the simple graph represented by the adjacency matrix $\begin{bmatrix} 0 & 0 & 1 & 1 \\ 0 & 0 & 1 & 1 \\ 1 & 1 & 0 & 1 \\ 1 & 1 & 1 & 0 \end{bmatrix}$?;5;10;4;6;3;3;
