id;topic;subtopic;question;option1;option2;option3;option4;correct_option
1;Graph Theory;;A simple graph $ G $ has 5 vertices and 6 edges. How many edges does its complementary graph $ \overline{G} $ have?;10 edges;5 edges;6 edges;4 edges;option4
2;Graph Theory;;Is the complete bipartite graph $ K_{3,3} $ planar?;Yes, it is a tree and all trees are planar.;Yes, it has no odd cycles and thus satisfies planarity conditions.;No, it contains a subgraph homeomorphic to $ K_{3,3} $, which is nonplanar by Kuratowski's theorem.;Yes, it is bipartite and bipartite graphs are always planar.;option3
3;Graph Theory;;Consider a graph with vertices $A, B, C, D$ and edges $AB, BC, CD, DA, AC$. Which of the following sequences is a path in this graph?;$A \rightarrow B \rightarrow C \rightarrow A$;$A \rightarrow B \rightarrow C \rightarrow D \rightarrow A$;$A \rightarrow B \rightarrow A \rightarrow C$;$A \rightarrow B \rightarrow C \rightarrow D$;option4
4;Graph Theory;;Consider the sequence $v_1 - e_1 - v_2 - e_2 - v_3 - e_3 - v_2 - e_4 - v_1$ in a simple graph. Which of the following best describes this sequence?;A path;A circuit;A walk but not a trail;A trail;option3
5;Graph Theory;;For a simple graph $ G $ with $ n $ vertices and $ m $ edges, the number of edges in its complement graph $ \overline{G} $ is:;m;\binom{n}{2} + m;\binom{n}{2} - 2m;\binom{n}{2} - m;option4
6;Graph Theory;;What is the number of edges in a spanning tree of a connected graph with 10 vertices?;8;11;10;9;option4
7;Graph Theory;;A connected planar graph has 8 vertices and 12 edges. How many regions does it divide the plane into?;7;5;6;8;option3
8;Graph Theory;;Which of the following is a necessary condition for two graphs $ G $ and $ G' $ to be isomorphic?;Both graphs have the same number of vertices.;Both graphs have the same degree sequence.;There exist one-to-one correspondences $ f: V(G) \to V(G') $ and $ g: E(G) \to E(G') $ preserving adjacency.;Both graphs have the same number of edges.;option3
9;Graph Theory;;Which of the following is true for a graph $ G $ and its complement $ \overline{G} $?;They have the same number of vertices.;They are always isomorphic.;They have the same number of edges.;They have identical degree sequences.;option1
10;Graph Theory;;How many edges does the complete bipartite graph $ K_{2,3} $ have?;7;8;6;5;option3
11;Graph Theory;;A simple graph G has 6 vertices and 10 edges. How many edges does its complement have? (A) 5 (B) 10 (C) 15 (D) 6;15;10;6;5;option4
12;Graph Theory;;What is the number of edges in the complement of a simple graph with 4 vertices and 2 edges?;6;3;2;4;option4
13;Graph Theory;;Which of the following is true about the complement of a complete graph $ K_n $?;The complement is a cycle graph $ C_n $.;The complement is also a complete graph.;The complement is an empty graph with no edges.;The complement has the same number of edges as $ K_n $.;option3
14;Graph Theory;;Which of the following must be true for a self-complementary graph $ G $?;The graph has an even number of edges.;The graph is bipartite.;The graph is regular.;The number of vertices is congruent to 0 or 1 modulo 4.;option4
15;Graph Theory;;Which of the following properties is preserved under graph isomorphism?\n\n(a) The specific labels of the vertices\n(b) The adjacency matrix entries\n(c) The degree sequence of the graph\n(d) The planar embedding of the graph;(c) The degree sequence of the graph;(a) The specific labels of the vertices;(d) The planar embedding of the graph;(b) The adjacency matrix entries;option1
16;Graph Theory;;What is the number of edges in the simple graph represented by the adjacency matrix $\begin{bmatrix} 0 & 0 & 1 & 1 \\ 0 & 0 & 1 & 1 \\ 1 & 1 & 0 & 1 \\ 1 & 1 & 1 & 0 \end{bmatrix}$?;6;5;4;10;option2
17;Graph Theory;;Given the adjacency matrix of a simple graph $ G $: $$\begin{pmatrix}0 & 1 & 0 & 1 \\ 1 & 0 & 1 & 1 \\ 0 & 1 & 0 & 0 \\ 1 & 1 & 0 & 0\end{pmatrix}$$, which of the following is the adjacency matrix of its complement $ \overline{G} $?;\begin{pmatrix}1 & 0 & 1 & 0 \\ 0 & 1 & 0 & 0 \\ 1 & 0 & 1 & 1 \\ 0 & 0 & 1 & 1\end{pmatrix};\begin{pmatrix}0 & 0 & 1 & 1 \\ 0 & 0 & 0 & 0 \\ 1 & 0 & 0 & 1 \\ 1 & 0 & 1 & 0\end{pmatrix};\begin{pmatrix}0 & 1 & 0 & 1 \\ 1 & 0 & 1 & 1 \\ 0 & 1 & 0 & 0 \\ 1 & 1 & 0 & 0\end{pmatrix};\begin{pmatrix}0 & 0 & 1 & 0 \\ 0 & 0 & 0 & 0 \\ 1 & 0 & 0 & 1 \\ 0 & 0 & 1 & 0\end{pmatrix};option4
18;Graph Theory;;Consider the directed graph with vertices $1, 2, 3$ and edges $1 \rightarrow 2$, $2 \rightarrow 3$, and $3 \rightarrow 1$. Which of the following is its incidence matrix?;\begin{pmatrix} -1 & 0 & 1 \\ 1 & -1 & 0 \\ 0 & 1 & -1 \end{pmatrix};\begin{pmatrix} 1 & 0 & -1 \\ 1 & -1 & 0 \\ 0 & 1 & -1 \end{pmatrix};\begin{pmatrix} 1 & 0 & -1 \\ -1 & 1 & 0 \\ 0 & -1 & 1 \end{pmatrix};\begin{pmatrix} 0 & 1 & 0 \\ 0 & 0 & 1 \\ 1 & 0 & 0 \end{pmatrix};option3
19;Graph Theory;;How many edges does the complement of the cycle graph $ C_4 $ have?;6;4;3;2;option4
20;Graph Theory;;Consider the directed graph with vertices $v_1, v_2, v_3, v_4$ and edges $a_1: v_1 	o v_2$, $a_2: v_2 	o v_3$, $a_3: v_3 	o v_4$, $a_4: v_4 	o v_1$, and $a_5: v_2 	o v_4$. Which of the following is the correct incidence matrix of this directed graph?;\begin{pmatrix}-1 & 0 & 0 & 1 & 0 \\ 1 & -1 & 0 & 0 & -1 \\ 0 & 1 & -1 & 0 & 0 \\ 0 & 0 & 1 & -1 & 1\end{pmatrix};\begin{pmatrix}1 & 0 & 0 & 1 & 0 \\ 1 & 1 & 0 & 0 & 1 \\ 0 & 1 & 1 & 0 & 0 \\ 0 & 0 & 1 & 1 & 1\end{pmatrix};\begin{pmatrix}-1 & 0 & 0 & 1 & 0 \\ 1 & 1 & 0 & 0 & 1 \\ 0 & 1 & -1 & 0 & 0 \\ 0 & 0 & 1 & -1 & 1\end{pmatrix};\begin{pmatrix}-1 & 0 & 0 & 1 & 0 \\ 1 & -1 & 0 & 0 & -1 \\ 0 & 1 & -1 & 0 & 0 \\ 0 & 0 & 1 & 1 & 1\end{pmatrix};option1
21;Graph Theory;;What is the chromatic number of a cycle graph with 5 vertices?;3;4;1;2;option1
22;Graph Theory;;What is the number of edges in the complete graph $K_5$?;$\frac{5 \times 4}{2} = 10$;$5 + 4 = 9$;$5^2 = 25$;$5 \times 4 = 20$;option1
23;Graph Theory;;Which of the following is not equivalent to the others for a graph $ G $?;$ G $ is a tree;$ G $ has $ n-1 $ edges;$ G $ is connected and acyclic;$ G $ has exactly one cycle;option4
24;Graph Theory;;What is the number of edges in the complement of a graph $ G $ with 10 vertices and 25 edges?;45;90;20;25;option3
25;Graph Theory;;Which of the following statements about trees is false?;A tree with $ n $ vertices has $ n-1 $ edges.;A tree can have cycles.;A tree is connected and acyclic.;There is exactly one path between any two vertices in a tree.;option2
26;Graph Theory;;Which of the following is a trail but not a path in a graph?;A closed walk with no repeated edges.;A closed walk with no repeated vertices except the starting/ending one.;A walk with no repeated edges but with at least one repeated vertex.;A walk with no repeated vertices.;option3
27;Graph Theory;;Which of the following complete graphs is bipartite?;K_5;K_4;K_3;K_2;option4
28;Graph Theory;;Consider the undirected graph with vertices $1, 2, 3, 4$ and edges $\{1-2, 1-3, 2-4, 3-4\}$. Which of the following is its adjacency matrix?;\begin{pmatrix}0 & 1 & 1 & 0 \\ 1 & 0 & 1 & 1 \\ 1 & 1 & 0 & 1 \\ 0 & 1 & 1 & 0\end{pmatrix};\begin{pmatrix}0 & 1 & 1 & 0 \\ 1 & 0 & 0 & 1 \\ 1 & 0 & 0 & 1 \\ 0 & 1 & 1 & 1\end{pmatrix};\begin{pmatrix}0 & 1 & 1 & 0 \\ 1 & 0 & 0 & 1 \\ 1 & 0 & 0 & 1 \\ 0 & 1 & 1 & 0\end{pmatrix};\begin{pmatrix}0 & 1 & 0 & 0 \\ 1 & 0 & 0 & 1 \\ 0 & 0 & 0 & 1 \\ 0 & 1 & 1 & 0\end{pmatrix};option3
29;Graph Theory;;If $ G $ is a simple graph with 4 vertices and 2 edges, how many edges does its complement $ \overline{G} $ have?;\boxed{3};\boxed{2};\boxed{4};\boxed{6};option3
30;Graph Theory;;A connected planar graph has 7 vertices and 11 edges. How many faces does it have?;|F| = 6;|F| = 5;|F| = 7;|F| = 8;option1
31;Graph Theory;;What is the maximum number of edges in a connected planar simple graph with 7 vertices?;16;15;12;14;option2
32;Graph Theory;;What is the maximum number of edges in a simple planar graph with 6 vertices?;12;9;15;8;option1
33;Graph Theory;;Consider the adjacency matrix of a simple graph $ G $ given below. What is the chromatic number of $ G $?;\chi(G) = 3;\chi(G) = 2;\chi(G) = 4;\chi(G) = 5;option1
34;Graph Theory;;What is the chromatic number of the complete bipartite graph $ K_{2,3} $?;1;4;2;3;option3
35;Graph Theory;;What is the chromatic number of the cycle graph $ C_5 $?;2;4;3;5;option3
36;Graph Theory;;Which of the following statements is true about the cycle graph $ C_7 $?;It is bipartite because it can be divided into two sets with no edges within each set.;It is 3-regular and bipartite.;It has a chromatic number of 3.;It is not bipartite because it contains an odd-length cycle.;option4
37;Graph Theory;;Which of the following statements is true for a connected planar simple graph with $ v \geq 3 $ vertices?;The number of edges is at least $ 3v - 6 $.;The number of edges is at most $ 3v - 6 $.;The number of edges is at most $ 2v - 4 $.;The number of edges is at least $ 2v - 4 $.;option2
38;Graph Theory;;"Consider a tree with 7 vertices. Which of the following statements are true? 

i. It has exactly 6 edges.
ii. It contains exactly one cycle.
iii. It has at least two leaves.";Only statements i. and iii. are true.;Only statements ii. and iii. are true.;Only statements i. and ii. are true.;All statements are false.;option1
39;Graph Theory;;Consider the following weighted graph with vertices A, B, C, D, E and edges with weights: AB=1, BE=2, AC=3, CE=1, AD=4, DE=1. Which path from A to E has the least total weight?;The path $ACE$ with total weight 4.;The path $ABE$ with total weight 3.;The path $ABCE$ with total weight 5.;The path $ADE$ with total weight 5.;option2
40;Graph Theory;;Consider the following weighted graph with edges AB (2), AC (5), BC (1), BD (3), CE (4), and DE (1). What is the shortest path from A to E?;A \rightarrow B \rightarrow D \rightarrow C \rightarrow E;A \rightarrow B \rightarrow C \rightarrow E;A \rightarrow C \rightarrow E;A \rightarrow B \rightarrow D \rightarrow E;option4
41;Graph Theory;;A connected graph has 10 vertices and 15 edges. What is the minimum number of edges that must be removed to leave a spanning tree?;8;5;6;7;option3
42;Graph Theory;;Which of the following is a spanning tree of the connected graph with vertices $A, B, C, D, E$ and edges $AB, AC, AD, AE, BC, BD, BE, CD, CE$?;$AB$, $BC$, $CD$;$AB$, $BC$, $CD$, $DE$, $EA$;$AB$, $AC$, $AD$, $AE$;$AB$, $AC$, $AD$, $AE$, $BC$;option3
43;Graph Theory;;Which of the following statements is equivalent to a graph being a tree? Consider a graph $ G $ with $ n $ vertices.;\text{(d)}\ G \text{ contains exactly one cycle};\text{(a)}\ G \text{ is acyclic and has } n \text{ edges};\text{(b)}\ G \text{ is connected and has } n+1 \text{ edges};\text{(c)}\ G \text{ is connected and has } n-1 \text{ edges};option4
44;Graph Theory;;Which of the following is a valid characterization of a tree?\n\n(A) A connected graph with $ n $ vertices and $ n $ edges.\n(B) An acyclic graph with $ n $ vertices and $ n-2 $ edges.\n(C) A connected graph with $ n $ vertices and $ n-1 $ edges.\n(D) A graph with $ n $ vertices, $ n-1 $ edges, and exactly one cycle.;(D) A graph with $ n $ vertices, $ n-1 $ edges, and exactly one cycle.;(C) A connected graph with $ n $ vertices and $ n-1 $ edges.;(B) An acyclic graph with $ n $ vertices and $ n-2 $ edges.;(A) A connected graph with $ n $ vertices and $ n $ edges.;option2
