id,id_lect,description,topic,subtopic,question,level,answer1,answer2,answer3,answer4,file_name,file_ext,date,validate,validate_date,validate_by,newlevel,algorithmlevel,checked
79,41,"",14,,"What number is missing from the table?

$\begin{array}{ |l|c|c| } 
 \hline
 \text{Student} & \text{Frequency} & \text{Relative frequency} \\ 
\hline
\text{Bachelor} &900& 0.75 \\ 
\text{Master} &  & 0.15  \\ 
\text{PhD} & 120 & 0.1 \\ 
 \hline
\end{array}$",Basic,$180$,$150$,$1020$,$400$,,,2019-03-07 01:01:55+00,1,2019-04-08 17:34:43+00,37,1,3,1
80,41,"",14,,"The amount spent on entertainment in a month was recorded for a sample of five university students: $100€$, $90€$, $200€$, $325€$, and $120€$. Calculate the sample mean for the data.",Basic,$167 €$,$200 €$,$120 €$,$325 €$,,,2019-03-07 01:07:40+00,1,2019-04-08 17:36:46+00,37,1,3,1
81,41,"",14,,"The amount spent on entertainment in a month was recorded for a sample of five university students: $100€$, $90€$, $200€$, $325€$, and $120€$. Calculate the value of the sample median for the data.",Basic,$120 €$,$200 €$,$167 €$,$325 €$,,,2019-03-07 01:09:19+00,1,2019-04-08 17:37:54+00,37,1,3,1
82,39,"",4,3,Differentiate $\displaystyle{y = 2x\sin(x)}$.,Basic,$2\left(\sin\left(x\right)+x\cos\left(x\right)\right)$,$\left(\sin\left(2x\right)+x\cos\left(2x\right)\right)$,$2x\left(\sin\left(x\right)+x\cos\left(x\right)\right)$,$\left(2\sin\left(x\right)-2x\cos\left(x\right)\right)$,"","",2019-03-07 06:43:24+00,1,2019-04-30 05:34:33+00,37,1,1,1
83,42,"",3,39,The image of the function $f(x)=x^3+\log (x)$ is,Basic,$\mathbb{R}$,"$(0,+\infty)$","$[0,+\infty)$","$(-\infty,0)$",,,2019-03-11 01:38:11+00,1,2019-07-31 17:46:15+00,64,2,1,1
84,42,"",3,37,"Find the values of the parameter $\alpha\in\mathbb R$ for which the function
\[
f_\alpha\colon \mathbb R\setminus\{0\}\to\mathbb R \ \text{ given by } \ f_\alpha(x)=\frac{\alpha -\cos( x)}{x^2}
\]
may be extended to a function defined on the whole real line.",Basic,$\alpha=1$.,$\alpha=1/2$.,"$\alpha\in [-1,1]$.",There is no such value of $\alpha$.,,,2019-03-11 01:47:15+00,1,2019-09-26 06:34:18+00,61,5,3,1
85,42,"",3,37,"Find the values of the parameter $\alpha\in\mathbb R$ for which the function $f\colon\mathbb R\to\mathbb R$ defined by
\[
f(x)=
\begin{cases}
\cos (x) + \frac{\tan (x)}{x} & \text{if $x> 0$,}\\
\alpha \log(\operatorname{e} -x ) &\text{if $x\le  0$,}
\end{cases}
\],
where $\log$ denotes the logarithm with base $e$, is continuous.",Basic,$\alpha=2$.,$\alpha=0$.,$\alpha=1$.,The function is discontinuous at every point in $\mathbb{R}$.,,,2019-03-11 01:48:46+00,1,2019-11-26 11:56:32+00,38,3,2,1
86,42,"",3,39,"Determine which of these functions are periodic:
\[
f(x) = \sin(\operatorname{e}^x),\qquad g(x)=\operatorname{e}^{\sin (x)},\qquad h(x) = x - [x],\qquad i(x) = x+ [x],
\]
where $[x]=\max\{n\in\mathbb{Z}:n\le x\}$ denotes the integer part of $x$.",Advanced,$g$ and $h$.,$f$ and $g$.,$f$ and $i$.,$f$ and  $h$.,,,2019-03-11 01:49:57+00,1,2019-07-31 17:46:54+00,64,5,3,1
87,42,"",3,37,"Calculate
\[
\lim_{x\to+\infty} \frac{\cos (x+[x]) - \sin(x-[x])}{x+[x]},
\]
where $[x]=\max\{n\in\mathbb{Z}:n\le x\}$ denotes the integer part of $x$.",Advanced,$0$.,$+\infty$.,$-\infty$.,The limit does not exist.,,,2019-03-11 01:50:55+00,1,2019-04-28 11:11:12+00,37,3,1,1
88,43,"",18,9,"Discuss the solution of the following linear system:
$$\begin{cases}
3x & + & 2y & - & z & + & 2t & = & 1\\
x & - & y & + &2 z & - & 4t & = & -1\\
-x & - & 2y & - & z & + & t & = & 0\\
2x & + & 3y & - & 2z & + & t & = & 2
\end{cases}$$",Basic,The system has a unique solution.,The system has no solutions.,The system has infinitely many solutions depending on one parameter.,The system has three solutions.,,,2019-03-11 04:19:53+00,1,2019-04-06 17:26:33+00,37,3,4,1
89,43,"",18,9,"How many solutions does the following linear system have?
$$\begin{cases}
2x & + & 3y & - & z & = & 1 \\
x & - & y & + & 4z & = & -2 \\
x & - & 6y & + & 13z & = & -7
\end{cases}$$",Basic,The system has infinitely many solutions depending on one parameter.,The system has no solutions.,The system has two solutions.,The system has a unique solution.,,,2019-03-11 04:25:11+00,1,2019-04-06 09:58:54+00,38,2,5,1
90,43,"",18,9,"How many solutions does the following linear system have?
$$\begin{cases}
x & - & y & + & z & - & 2t & = & 0 \\
-x & - & 5y & + & z & - & 8t & = & 0 \\
2x & + & y & + & z & + & t & = & 0 \\
2x & - & 5y & + & 3z & - & 9t & = & 0
\end{cases}$$",Basic,The system has infinitely many solutions depending on two parameters.,The system has infinitely many solutions depending on one parameter.,The system has no solutions.,The system has a unique solution.,,,2019-03-11 04:37:27+00,1,2019-04-05 07:49:04+00,38,4,3,1
91,43,"",18,9,"Find the solutions of the following linear system:
$$\begin{cases}
x & + & y & - & 3z & + & 2t & = & 1 \\
2x & - & y & - & z & + & t & = & 0 \\
x & + & y & + & z & - & t & = & -2
\end{cases}$$",Basic,"The solutions of the system are of the form $\bigg(-\frac{2}{3},\frac{1}{4}t-\frac{7}{12},\frac{3}{4}t-\frac{3}{4},t\bigg)$, for all $t\in\mathbb{R}$.",The system has no solutions.,"The system has $\bigg(-\frac{2}{3},-\frac{7}{12},-\frac{3}{4},0\bigg)$ as unique solution.","The solution of the system is the vector of coordinates $(2,-1,0,0)$.",,,2019-03-11 04:57:41+00,1,2019-04-05 08:14:45+00,38,3,3,1
92,43,"",18,9,"Find the solutions $\left(\text{in } \mathbb{C}^2\right)$ of the following linear system:
$$\begin{cases}
(1+i)z& + & (1-i)w & = & i \\
(1-i)z& + & (1+i)w & = & 1-i
\end{cases}$$",Basic,"The unique solution of the linear system is $\bigg(\frac{3+i}{4},-\frac{1+i}{4}\bigg)$.","The solutions of the linear system are of the form $\bigg(\frac{1+i}{4},\frac{-1+i}{4}+z\bigg)$, for every $z\in\mathbb{C}$.",The linear system has no solutions.,"The linear system has the vector $(i,-i)$ has its unique solution.",,,2019-03-11 05:15:34+00,1,2019-04-20 11:16:29+00,37,3,4,1
93,39,"",4,3,Identify the Product Rule,Basic,$\displaystyle{\frac{dy}{dx}}={{u}\frac{dv}{dx}}+{{v}\frac{du}{dx}}$,$\displaystyle{\frac{dy}{dx}}={{u}\frac{du}{dx}}+{{v}\frac{dv}{dx}}$,$\displaystyle{\frac{dy}{dx}}={{u}\frac{dv}{dx}}-{{v}\frac{du}{dx}}$,$\displaystyle{\frac{dy}{dx}}=\frac{{v}\frac{du}{dx}-{u}\frac{dv}{dx}}{v^2}$,"","",2019-03-11 08:52:39+00,1,2019-05-23 15:13:15+00,37,2,1,0
94,39,"",4,3,Differentiate $y(x)=\displaystyle{(4-x^3)e^{5x}}$.,Basic,$\displaystyle{\frac{dy}{dx}} = 5(4-x^3)e^{5x}-3x^2e^{5x}$,$\displaystyle{\frac{dy}{dx}} = 5(4-x^3)e^{5x}+3x^2e^{5x}$,$\displaystyle{\frac{dy}{dx}} = 5(4-x^2)e^{5x}-3x^2e^{5x}$,$\displaystyle{\frac{dy}{dx}} = 5(4-x^2)e^{5x}+3x^2e^{5x}$,"","",2019-03-11 09:39:32+00,1,2019-05-23 15:15:06+00,37,2,1,1
95,39,"",4,3,Differentiate ${y(x)= 3x^2 e^{4x}}$.,Basic,$\dfrac{dy}{dx}={12x^2e^{4x}}+{6xe^{4x}}$,$\dfrac{dy}{dx}={12x^2e^{4x}}+{6x^4e^{4x}}$,$\dfrac{dy}{dx}={12x^4e^{4x}}+{6x^4e^{4x}}$,$\dfrac{dy}{dx}={12x^2e^{3x}}+{6xe^{3x}}$,"","",2019-03-11 09:51:32+00,1,2019-09-26 06:38:24+00,61,2,4,1
