Model,Context Size,F1-Score,Recall,Precision,Accuracy,Time (s)
ollama/gemma4:31b,1024,1.0,1.0,1.0,1.0,123.04209423065186
ollama/gemma4:31b,2048,1.0,1.0,1.0,1.0,83.49830985069275
ollama/gemma4:31b,4096,1.0,1.0,1.0,1.0,62.47494292259216
ollama/gemma4:31b,8192,1.0,1.0,1.0,1.0,54.90956783294678
ollama/gemma4:31b,16384,1.0,1.0,1.0,1.0,53.51438927650452
ollama/gemma4:31b,32768,1.0,1.0,1.0,1.0,58.64385199546814
ollama/gemma4:31b,65536,0.9523809523809523,0.9090909090909091,1.0,0.9995100440960314,70.60978364944458
ollama/gemma4:31b,131072,0.9523809523809523,0.9090909090909091,1.0,0.9995100440960314,3.662632942199707
ollama/gemma4:31b,1024,1.0,1.0,1.0,1.0,0.0
ollama/gemma4:31b,2048,1.0,1.0,1.0,1.0,0.0
ollama/gemma4:31b,4096,0.9600000000000001,1.0,0.9230769230769231,0.9995102840352595,0.0
ollama/gemma4:31b,8192,1.0,1.0,1.0,1.0,0.0
ollama/gemma4:31b,16384,1.0,1.0,1.0,1.0,0.0
ollama/gemma4:31b,32768,1.0,1.0,1.0,1.0,0.0
ollama/gemma4:31b,65536,1.0,1.0,1.0,1.0,0.0
ollama/gemma4:31b,1024,1.0,1.0,1.0,1.0,118.91433691978455
ollama/gemma4:31b,2048,1.0,1.0,1.0,1.0,78.58761858940125
ollama/gemma4:31b,4096,1.0,1.0,1.0,1.0,62.05675411224365
ollama/gemma4:31b,8192,1.0,1.0,1.0,1.0,54.505622148513794
ollama/gemma4:31b,16384,1.0,1.0,1.0,1.0,53.53545570373535
ollama/gemma4:31b,32768,1.0,1.0,1.0,1.0,58.43243932723999
ollama/gemma4:31b,65536,0.9523809523809523,0.9090909090909091,1.0,0.9995100440960314,70.38403844833374
ollama/gemma4:31b,131072,1.0,1.0,1.0,1.0,3.866441011428833
ollama/gemma4:31b,131072,0.9523809523809523,0.9090909090909091,1.0,0.9995100440960314,71.25687003135681
ollama/gemma4:31b,65536,1.0,1.0,1.0,1.0,4.264108657836914
ollama/gemma4:31b,65536,1.0,1.0,1.0,1.0,4.484529495239258
ollama/gemma4:31b,65536,1.0,1.0,1.0,1.0,4.285123348236084
ollama/gemma4:31b,32768,1.0,1.0,1.0,1.0,58.397576570510864
ollama/gemma4:31b,65536,0.9523809523809523,0.9090909090909091,1.0,0.9995100440960314,70.22989201545715
ollama/gemma4:31b,1024,1.0,1.0,1.0,1.0,114.95425081253052
ollama/gemma4:31b,2048,1.0,1.0,1.0,1.0,78.55850386619568
ollama/gemma4:31b,4096,0.9600000000000001,1.0,0.9230769230769231,0.9995102840352595,62.80419731140137
ollama/gemma4:31b,8192,1.0,1.0,1.0,1.0,54.994595766067505
ollama/gemma4:31b,16384,1.0,1.0,1.0,1.0,53.57560706138611
ollama/gemma4:31b,32768,1.0,1.0,1.0,1.0,58.77101993560791
ollama/gemma4:31b,65536,1.0,1.0,1.0,1.0,71.28889083862305
ollama/gemma4:31b,131072,0.9523809523809523,0.9090909090909091,1.0,0.9995100440960314,3.5945308208465576
ollama/gemma4:31b,262144,1.0,1.0,1.0,1.0,4.329118490219116
ollama/gemma4:31b,524288,1.0,1.0,1.0,1.0,4.170655965805054
ollama/qwen3.6:35b,1024,1.0,1.0,1.0,1.0,1045.1502311229706
ollama/qwen3.6:35b,2048,1.0,1.0,1.0,1.0,690.8572468757629
ollama/qwen3.6:35b,4096,1.0,1.0,1.0,1.0,399.78426241874695
ollama/qwen3.6:35b,8192,1.0,1.0,1.0,1.0,2889.0978920459747
ollama/qwen3.6:35b,16384,1.0,1.0,1.0,1.0,237.3062403202057
ollama/qwen3.6:35b,32768,1.0,1.0,1.0,1.0,160.08217239379883
ollama/qwen3.6:35b,65536,1.0,1.0,1.0,1.0,112.36625123023987
ollama/qwen3.6:35b,131072,1.0,1.0,1.0,1.0,286.85513496398926
ollama/granite4.1:30b,1024,1.0,1.0,1.0,1.0,87.49827432632446
ollama/granite4.1:30b,2048,1.0,1.0,1.0,1.0,57.24623489379883
ollama/granite4.1:30b,4096,1.0,1.0,1.0,1.0,42.27035117149353
ollama/granite4.1:30b,8192,1.0,1.0,1.0,1.0,37.048736572265625
ollama/granite4.1:30b,16384,1.0,1.0,1.0,1.0,36.052616119384766
ollama/granite4.1:30b,32768,0.02265705458290422,1.0,0.011458333333333333,0.535031847133758,269.1279010772705
ollama/granite4.1:30b,1024,1.0,1.0,1.0,1.0,93.70906591415405
ollama/granite4.1:30b,2048,1.0,1.0,1.0,1.0,57.52167749404907
ollama/granite4.1:30b,4096,1.0,1.0,1.0,1.0,43.63729286193848
ollama/granite4.1:30b,8192,1.0,1.0,1.0,1.0,37.357428312301636
ollama/granite4.1:30b,16384,1.0,1.0,1.0,1.0,88.80062699317932
ollama/granite4.1:30b,32768,0.022797927461139896,1.0,0.011530398322851153,0.5379715825575698,282.88224625587463
ollama/laguna-xs.2:q8_0,1024,0.9032258064516129,1.0,0.8235294117647058,0.9985322896281801,58.741284132003784
ollama/laguna-xs.2:q8_0,2048,1.0,1.0,1.0,1.0,36.46701264381409
ollama/laguna-xs.2:q8_0,4096,1.0,1.0,1.0,1.0,30.806194305419922
ollama/laguna-xs.2:q8_0,8192,1.0,1.0,1.0,1.0,28.507394552230835
ollama/laguna-xs.2:q8_0,16384,1.0,1.0,1.0,1.0,470.49182081222534
ollama/laguna-xs.2:q8_0,32768,0.0453857791225416,1.0,0.02321981424148607,0.6914425427872861,114.14053773880005
ollama/laguna-xs.2:q8_0,65536,1.0,1.0,1.0,1.0,100.91305303573608
