id;topic;subtopic;question;correct;incorrect1;incorrect2;incorrect3;pdf_material
362;Graph Theory;;The complete bipartite graph $K_{m,n}$ has:;$m\times n$ edges.;$m+n$ edges.;odd cycles.;$m \times n$ vertices.;235,236,237,238,239,241
365;Graph Theory;;The graph in the picture;is Hamiltonian.;is bipartite.;is complete.;is Eulerian.;237,239,240,241
370;Graph Theory;;Which of the following graphs admits an Euler circuit?;$G_1$ and $G_3$.;All graphs.;None of the graphs.;$G_1$ and $G_2$.;239,24
372;Graph Theory;;Which of the following sentences is false?;The graph has a circuit.;The graph has a cycle.;The graph is Eulerian.;The graph is Hamiltonian.;239,240,244
373;Graph Theory;;The complete graph $K_n$ is:;Eulerian for odd values of $n$.;Hamiltonian for all values of $n$.;Eulerian for even $n$.;bipartite for all $n$.;235,236,237,238,239,241
374;Graph Theory;;In a tree with six vertices;there are five edges.;all vertices have degree three.;there are two leafs, that is, two vertices with degree one.;there is a cycle.;239,242,243,244
386;Graph Theory;;How many non-isomorphic spanning trees are there in the graph?;$3$;$4$;$5$;$6$;237,241,243
465;Graph Theory;;A simple graph is a graph, oriented or not, with;a non empty set of vertices.;multiple edges.;loops.;a non empty set of edges.;235,236,237,238,239,241
466;Graph Theory;;The graph;has at least two non-adjacent vertices.;is disconnected.;has one vertex with degree $5$.;has an isolated vertex.;235,236,238,239,242
468;Graph Theory;;If a subgraph $G'(V', E')$ of the graph $G(V, E)$ is regular, then:;$V'\subseteq V$, $E'\subseteq E$ and all vertices of $G'$ have the same degree.;$V'=V$ and $E'\subseteq E$.;$V\subseteq V'$ and $E\subseteq E'$.;$V'\subseteq V$ and $E'=\emptyset$.;237,241,242
469;Graph Theory;;If a simple graph has ten edges and five vertices with same degree, then each vertex has degree;four.;two.;three.;five.;235,236,238,239,241,242
470;Graph Theory;;If a simple graph has at least one edge, then;there are always two vertices with same degree.;there are always two vertices with odd degree.;there are no vertices with same degree.;there always are two vertices with even degree.;235,236,238,239,242
471;Graph Theory;;$G$ is a non trivial connected simple graph. Which is the true sentence?;If $|V(G)|\geq 2$ there is a connected induced subgraph.;All induced subgraphs of $G$ are connected.;All subgraphs of $G$ are connected.;There is a non-trivial proper induced subgraph that is also connected.;235,236,237,238,239,241
472;Graph Theory;;If $G=(V,E)$ is a $k$-regular graph, then;$2|E|= k|V|$.;$|E|= k|V|$.;$|E|=2k|V|$.;$|E|=2|V|$.;235,236,237,238,239,241
473;Graph Theory;;Which pair has two isomorphic graphs?;(a).;(b).;(c).;(d).;236,238,242
474;Graph Theory;;How many non-isomorphic simple graphs with four vertices are there?;$12$;$10$;$16$;$20$;235,236,238,239
475;Graph Theory;;The adjacency matrix$\begin{pmatrix}0 & 1 & 0 & 1 \\1 & 0 & 1 & 1 \\0 & 1 & 0 & 0 \\1 & 1 & 0 & 0\end{pmatrix}$ represents the graph;(b).;(a).;(c).;(d).;235,236,238,239,242
476;Graph Theory;;The adjacency matrix of the attached directed graph is;$\begin{pmatrix}0 & 1 & 0 & 0 & 1\\1 & 0 & 1 & 1 & 0\\0 & 1 & 0 & 1 & 0\\0 & 1 & 1 & 0 & 1\\1 & 0 & 0 & 1 & 0\end{pmatrix}$;$\begin{pmatrix}1 & 0 & 0 & 0 & 0 & 1 \\1 & 1 & 1 & 0 & 0 & 0 \\0 & 1 & 0 & 1 & 0 & 0 \\0 & 0 & 1 & 1 & 1 & 0 \\0 & 0 & 0 & 0 & 1 & 1\end{pmatrix}$;$\begin{pmatrix}0 & 1 & 0 & 0 & 1\\1 & 1 & 0 & 1 & 1\\0 & 0 & 0 & 0 & 1\\0 & 1 & 0 & 0 & 0\\1 & 1 & 1 & 0 & 0end{pmatrix}$;$\begin{pmatrix}-1 & 0 & 0 & 0 & 0 & 1 \\1 &-1 &-1 & 0 & 0 & 0 \\0 & 1 & 0 &-1 & 0 & 0 \\0 & 0 & 1 & 1 & 1 & 0 \\0 & 0 & 0 & 0 &-1 &-1\end{pmatrix}$;238
477;Graph Theory;;An orientation of a graph can be achieved by replacing each non ordered pair of vertices $\{x,\:y\}$, which is an edge, by one of the ordered pairs $(x,\:y)$ or $(y,\:x)$.How many non isomorphic orientations of $K_3$ are there?;$2$;$1$;$3$;$4$;235,236,237,238,239,241
478;Graph Theory;;The attached graph has incidence matrix:;$\begin{pmatrix}1 & 0 & 0 & 1 & 0 & 1 & 0\\1 & 1 & 0 & 0 & 0 & 0 & 1\\0 & 1 & 1 & 0 & 0 & 1 & 0\\0 & 0 & 1 & 1 & 1 & 0 & 1\\0 & 0 & 0 & 0 & 1 & 0 & 0\\\end{pmatrix}$;$\begin{pmatrix}1 & 1 & 0 & 0 & 0 & 0 & 1\\0 & 0 & 1 & 1 & 0 & 1 & 1\\0 & 0 & 1 & 0 & 1 & 0 & 0\\0 & 1 & 0 & 1 & 1 & 0 & 0\\1 & 0 & 0 & 0 & 0 & 1 & 0\\\end{pmatrix}$;$\begin{pmatrix}1 & 1 & 0 & 0 & 0 & 1 \\0 & 0 & 1 & 1 & 0 & 1 \\1 & 0 & 1 & 0 & 1 & 0 \\0 & 1 & 0 & 1 & 1 & 0 \\\end{pmatrix}$;$\begin{pmatrix}1 & 1 & 0 & 0 & 0 & 1 & 0\\0 & 0 & 1 & 1 & 0 & 1 & 1\\1 & 0 & 1 & 0 & 1 & 0 & 0\\0 & 1 & 0 & 1 & 1 & 0 & 1\\\end{pmatrix}$;235,236,238,239,242
479;Graph Theory;;A bridge $uv$ is an edge of a connected graph whose removal leaves the graph disconnected. Which is the true sentence?;Every edge in a tree is a bridge.;No circuit includes the bridge $uv$.;Vertex $u$ and vertex $v$ do not have adjacent vertices in common.;Vertex $u$ and vertex $v$ have the same degree.;242,243
480;Graph Theory;;The complete graph $K_{m,n}$ has:;$m\times n$ edges.;$m+n$ edges.;odd cycles.;$m \times n$ vertices.;237,241,242
481;Graph Theory;;Which of the following sentences is not equivalent to the other three for a connected graph $G$?;$G$ contains a tree.;$G$ is Eulerian.;The degree of every vertex is even.;$G$ is a disjoint union of cycles.;239,240,242,243
482;Graph Theory;;How many more edges are there in the complete graph $K_7$ than in the completegraph $K_5$?;$11$;$10$;$12$;$9$;235,236,237,238,239,241,242
