id;topic;subtopic;question;correct;incorrect1;incorrect2;incorrect3;pdf_material
363;Fundamental Mathematics;Elementary Geometry;The faces of a regular dodecahedron are:;pentagons.;pentagons and triangles.;triangles and squares.;triangles.;265,268
364;Fundamental Mathematics;Elementary Geometry;If the basis of a pyramid is a n-sided polygon, how many faces does the pyramid have?;It has $n+1$ faces.;It has $n+2$ faces.;It has $n$ faces.;It has $n-1$ faces.;265,268
366;Fundamental Mathematics;Elementary Geometry;How many faces does a prism have if the bases are n-sided polygons?;It has $n+2$ faces.;It has $n$ faces.;It has $n+3$ faces.;It has $n+1$ faces.;265,268
367;Fundamental Mathematics;Elementary Geometry;Identify the prisms that have less than $6$ vertices.;There are no such prisms.;Hexagonal prisms.;Pentagonal prisms.;Heptagonal prisms.;265
368;Fundamental Mathematics;Elementary Geometry;Identify the true statement.;The regular tetrahedron has four geometrically equal faces.;The tetrahedron has less than four faces.;The tetrahedron has at least four faces.;The tetrahedron is a platonic solid.;265,268
369;Fundamental Mathematics;Elementary Geometry;A quadrilateral is a rectangle when;all four internal angles are congruent.;it has congruent internal angles two by two OR it has two pairs of congruent internal angles.;it has congruent sides two by two OR it has two pairs of congruent sides.;it has parallel sides two by two OR it has two pairs of parallel sides.;257,260,264
371;Fundamental Mathematics;Elementary Geometry;In a parallelogram;the two diagonals bisect.;the two diagonals are perpendicular.;the four sides are congruent.;the four angles are congruent.;257,260,264
456;Fundamental Mathematics;Elementary Geometry;In a triangle, the centroid (or barycenter) is the point of intersection of;the medians of the triangle.;the bisectors of the internal angles of the triangle.;the perpendicular bisectors of the sides of the triangle.;the triangle altitudes (or their extensions).;261,262,263,264,270
458;Fundamental Mathematics;Elementary Geometry;Through two points, we can draw one line.Through three points, three lines can be drawn.Through thirty points, how many lines can we draw?;$435$ lines.;$445$ lines.;$455$ lines.;$465$ lines.;257,260,264
460;Fundamental Mathematics;Elementary Geometry;A polyhedron with $20$ faces and $30$ edges has:;$12$ vertices.;$6$ vertices.;$18$ vertices.;$24$ vertices.;265,268
461;Fundamental Mathematics;Elementary Geometry;Which of the following sentences has only platonic solids?;Tetrahedron, octahedron, and icosahedron.;Hexahedron, decahedron, and dodecahedron.;Tetrahedron, heptahedron, and icosahedron.;Cone, cylinder, and sphere.;265,268
462;Fundamental Mathematics;Elementary Geometry;Select the platonic solid whose sum of the number of faces with the number of vertices is $14$.;Octahedron.;Tetrahedron.;Dodecahedron.;Icosahedron.;
463;Fundamental Mathematics;Elementary Geometry;The sum of the number of faces with the number of vertices of a solid is $17$.Choose the correct answer.;The solid is a pentagonal prism.;The solid is a hexagonal prism.;The solid is a hexagonal pyramid.;The solid is a pentagonal pyramid.;265,268
464;Fundamental Mathematics;Elementary Geometry;The number of diagonals of an $n$-sided polygon is;$\dfrac{n\left(n-3\right)}{2}$.;$n\left(n-3\right)$.;$2n-2$.;$2n\left(n-3\right)$.;257,265
467;Fundamental Mathematics;Elementary Geometry;Choose the true statement.;A concave polygon may have a diagonal outside the polygon.;A convex polygon may have a diagonal outside the polygon.;The diagonals of a convex polygon are all congruent.;A diagonal can join two consecutive vertices of the polygon.;257,265
493;Fundamental Mathematics;Elementary Geometry;Which set of numbers stands for the lengths of the sides of a triangle?;$\left\{2,4,5\right\}$.;$\left\{3,3,6\right\}$.;$\left\{2,4,8\right\}$.;$\left\{1,3,7\right\}$.;261,262,263,264,270
494;Fundamental Mathematics;Elementary Geometry;The amplitude of an exterior angle of a regular hexagon is;$60^\circ$.;$120^\circ$.;$30^\circ$.;$90^\circ$.;
495;Fundamental Mathematics;Elementary Geometry;The amplitude of an interior angle of a regular octagon is;$135^\circ$.;$125^\circ$.;$140^\circ$.;$130^\circ$.;
496;Fundamental Mathematics;Elementary Geometry;Choose the value that corresponds to the sum of the amplitudes of the internal angles of an octagon.;$1080^\circ$.;$900^\circ$.;$360^\circ$.;$1440^\circ$.;257,265
497;Fundamental Mathematics;Elementary Geometry;Knowing that $P$ is a parallelogram, indicate what you can say about $P$.;The sum of the amplitudes of the internal angles of $P$ is $360^\circ$.;$P$ has four acute angles.;$P$ has four right angles.;$P$ has two congruent diagonals.;257,265
498;Fundamental Mathematics;Elementary Geometry;Choose the true statement.;A scalene triangle can have three acute angles.;There is an equilateral triangle with a right angle.;A scalene triangle can have two congruent angles.;An isosceles triangle can have three geometrically different angles.;261,262,263,264,270
499;Fundamental Mathematics;Elementary Geometry;Consider that $T$ is a right-angled triangle.Choose the true statement.;$T$ has three sides with lengths $4 cm$, $3 cm$ and $5 cm$.;$T$ has three sides with lengths $4 cm$, $3 cm$ and $6 cm$.;$T$ may have an obtuse angle.;The amplitude of the other angles of $T$ is $45^\circ$.;261,262,263,264,270
500;Fundamental Mathematics;Elementary Geometry;Choose the true statement.;If $T$ is an equilateral triangle, then $T$ is an acute triangle.;If $T$ is an acute triangle, then $T$ is an equilateral triangle.;If $T$ is a right triangle, then $T$ is a scalene triangle.;If $T$ is an obtuse triangle, then $T$ is an isosceles triangle.;261,262,263,264,270
501;Fundamental Mathematics;Elementary Geometry;The total area (expressed in a given measure unit) of this cylinder is:;$2\pi a(a+b)$.;$2\pi b(a+b)$.;$\pi a (2a+b)$.;$\pi a (a+2b)$.;
502;Fundamental Mathematics;Elementary Geometry;Consider a dilation (an isotropic scaling) of centre $O$ and scale factor $r$.Choose the correct statement.;The original figure and its transformed are always similar.;If $r = 2$ the dilation corresponds to a translation.;If $r>1$ the dilation is an isometry.;The original figure and its transformed are always congruent.;258
503;Fundamental Mathematics;Elementary Geometry;Indicate which geometric transformation always preserves the direction and orientation of directed line segments.;Translation.;Rotation.;Reflection.;Glide reflection.;258
504;Fundamental Mathematics;Elementary Geometry;Indicate which of the following geometrical transformations is not an isometry.;Dilation (isotropic scaling) of centre $(0,0)$ and scale factor $2$.;Translation associated to vector $\stackrel{\rightarrow}{u} = (2,3)$.;Rotation of centre $(0,0)$ and amplitude (angle) $90^\circ$.;Line of reflection $y=x$.;258
505;Fundamental Mathematics;Elementary Geometry;Considering the similarity criteria of triangles, choose the correct statement.;Two scalene triangles are similar if two internal angles of one of them are congruent to two of the internal angles of the other.;Two isosceles triangles are similar if the length of two sides of one of them is directly proportional to the length of two sides of the other.;Two right triangles are always similar.;Two scalene triangles are never similar.;261,262,263,264,270
506;Fundamental Mathematics;Elementary Geometry;Find the correct relationship between the type of triangle and the number of lines of symmetry.;An equilateral triangle has 3 lines of symmetry.;An isosceles triangle has 2 lines of symmetry.;A scalene triangle has 1 line of symmetry.;An equilateral triangle has 6 lines of symmetry.;258,259,265
507;Fundamental Mathematics;Elementary Geometry;A square allows for:;4 reflectional symmetries and 4 rotational symmetries.;4 reflectional symmetries and 8 rotational symmetries.;8 reflectional symmetries and 4 rotational symmetries.;8 reflectional symmetries and 8 rotational symmetries.;258,259,265
508;Fundamental Mathematics;Elementary Geometry;A regular pentagon allows for five rotational symmetries. Which are the amplitudes of such rotational symmetries:;$72^\circ$, $144^\circ$, $216^\circ$, $288^\circ$ and $360^\circ$.;$36^\circ$, $72^\circ$, $108^\circ$, $144^\circ$ and $180^\circ$.;$36^\circ$, $72^\circ$, $144^\circ$, $288^\circ$, $360^\circ$.;$90^\circ$, $180^\circ$, $270^\circ$, $360^\circ$, $450^\circ$.;258,259,265
509;Fundamental Mathematics;Elementary Geometry;A regular hexagon allows for:;$6$ rotational symmetries.;$3$ reflectional symmetries.;$9$ reflectional symmetries.;$12$ rotational symmetries.;258,259,265
510;Fundamental Mathematics;Elementary Geometry;Choose the incorrect statement.;Reflection is the sole isometry that does not preserve the correct direction.;An isometry is a geometrical transformation in which the original figure and its transformed are congruent.;A transformation is a similarity.;Rotation and translation are isometries that preserve the orientation of the angles.;258,259,265
511;Fundamental Mathematics;Elementary Geometry;Consider a right-angled triangle, where the hypotenuse and one side measure 10 cm and 6 cm in length, respectively. Indicate the length of the other side.;8 cm;7 cm;3 cm;4 cm;261,262,263,264,270
512;Fundamental Mathematics;Elementary Geometry;Two triangles are congruent if, from one to the other, they have:;A congruent side and both adjacent angles to that side also congruent.;Two congruent sides.;Two congruent angles.;Two congruent sides. And an angle which is also congruent.;261,262,263,264,270
513;Fundamental Mathematics;Elementary Geometry;Imagine a triangle whose sides are of length $8 cm, 6 cm$ and $3 cm$:;The triangle is scalene.;The triangle is isosceles.;The triangle is acute-angled.;The triangle only has an angle with amplitude less than $90^\circ$.;261,262,263,264,270
514;Fundamental Mathematics;Elementary Geometry;Imagine a triangle whose amplitude of two of the angles is  $70^\circ$ and $30^\circ$:;The triangle is acute-angled.;The triangle is straight.;The triangle is obtuse-angled.;The triangle is isosceles.;261,262,263,264,270
515;Fundamental Mathematics;Elementary Geometry;In quadrilateral $[ABCD]$ the diagonals are congruent, orthogonal, they are bisectors of the internal angles and intersect in the median point which is a symmetry center. $[ABCD]$ is a:;Square.;Rhombus.;Rectangle.;Oblique parallelogram.;257,260,264
516;Fundamental Mathematics;Elementary Geometry;In a rectangle:;There are two lines of symmetry and their diagonals are congruent and intersecting the median point which is a symmetry centre.;There is just one line of symmetry and its diagonals are congruent and intersect in the median point which is a symmetry centre.;There are two lines of symmetry and their diagonals are congruent and intersect in the median point.;There are four lines of symmetry and their diagonals are congruent and intersect in the median point which is a symmetry centre.;258,259,265
517;Fundamental Mathematics;Elementary Geometry;In an isosceles trapezoid:;The straight line which crosses the median points is a line of symmetry.;The sides are congruent two by two.;There are two lines of symmetry.;Diagonals bisect.;258,259,265
518;Fundamental Mathematics;Elementary Geometry;Mark the true statement.;The sum of the amplitudes of the external angles of any triangle is always equal to $360^\circ$.;The sum of the amplitudes of the external angles of a convex quadrilateral is always equal to $540^\circ$.;The sum of the amplitudes of the external angles of a convex pentagon is always equal to  $720^\circ$.;The sum of the amplitudes of the external angles of a convex hexagon is always equal to $900^\circ$.;257,265
519;Fundamental Mathematics;Elementary Geometry;The sum of the amplitudes of the internal angles of a convex polygon with five sides is:;$540^\circ$.;$360^\circ$.;$900^\circ$.;$720^\circ$.;257,265
520;Fundamental Mathematics;Elementary Geometry;Choose the correct statement.;The sum of the amplitudes of the external angles of any convex polygon is $360^\circ$.;The sum of the external angles of any convex polygon is $180^\circ$.;The sum of the external angles of any convex polygon is $720^\circ$.;The sum of the external angles of any convex polygon is $\left(n - 2\right)\times 180^\circ$, where $n$ is the number of sides of the polygon.;257,265
521;Fundamental Mathematics;Elementary Geometry;A polygon is regular when:;All its sides have the same length and all angles have the same amplitude.;The parallel sides have the same length and opposite angles have the same amplitude.;All the angles have the same amplitude.;All the sides have the same length.;257,265
522;Fundamental Mathematics;Elementary Geometry;Each external angle of a given polygon has $60^\circ$ amplitude. Which is the sum of the amplitudes of the internal angles of this polygon?;$720^\circ$;$180^\circ$;$540^\circ$;$360^\circ$;257,261,262,263,264,265,270
