id;source_id;topic;subtopic;question;correct;incorrect1;incorrect2;incorrect3;difficulty;llm_difficulty;technique
1;363;Fundamental Mathematics;Elementary Geometry;How many edges does a hexagonal prism have?;18;12;16;24;3;3;
2;364;Fundamental Mathematics;Elementary Geometry;If the base of a prism is an $ n $-sided polygon, how many edges does the prism have?;It has $ 3n $ edges.;It has $ 2n $ edges.;It has $ n + 2 $ edges.;It has $ 4n $ edges.;3;3;
3;366;Fundamental Mathematics;Elementary Geometry;How many vertices does a pyramid have if the base is an $ n $-sided polygon?;$n + 1$;$2n$;$n$;$n + 2$;3;3;
4;367;Fundamental Mathematics;Elementary Geometry;Identify the prisms that have exactly $7$ vertices.;There are no such prisms.;Pentagonal prisms.;Triangular prisms.;Heptagonal prisms.;2;2;
5;368;Fundamental Mathematics;Elementary Geometry;Identify the true statement about a pentagonal prism.;A pentagonal prism has seven faces.;A pentagonal prism has six faces.;A pentagonal prism has ten faces.;A pentagonal prism has eight faces.;1;1;
6;369;Fundamental Mathematics;Elementary Geometry;How many diagonals does a hexagon have?;\frac{6 \times (6 - 3)}{2} = 9;\frac{6 \times (6 - 2)}{2} = 12;6 \times (6 - 3) = 18;6 \times (6 - 1) = 30;2;2;
7;371;Fundamental Mathematics;Elementary Geometry;How many diagonals does a regular nonagon have?;\boxed{27};\boxed{36};\boxed{54};\boxed{31};2;2;
8;456;Fundamental Mathematics;Elementary Geometry;What is the sum of the amplitudes of the exterior angles of a triangle?;360^\circ;180^\circ;270^\circ;540^\circ;2;2;
9;458;Fundamental Mathematics;Elementary Geometry;A regular decagon (10-sided polygon) has how many diagonals?;$35$ diagonals;$45$ diagonals;$70$ diagonals;$40$ diagonals;3;3;
10;460;Fundamental Mathematics;Elementary Geometry;A prism with a pentagonal base has $7$ faces and $15$ edges. How many vertices does it have?;10;6;8;20;2;2;
